"Customer ID","Customer Name",TotalSales,SalesRank,DenseRank,RowNum
SE-20110,"Sanjit Engle",134303.81800000006,1,1,1
SM-20320,"Sean Miller",125215.25000000006,2,2,2
CL-12565,"Clay Ludtke",119686.00600000004,3,3,3
AB-10105,"Adrian Barton",114844.88800000012,4,4,4
SC-20095,"Sanjit Chand",113138.67199999998,5,5,5
KL-16645,"Ken Lonsdale",112575.33600000011,6,6,6
SV-20365,"Seth Vernon",102785.81400000017,7,7,7
ME-17320,"Maria Etezadi",95723.26200000022,8,8,8
TC-20980,"Tamara Chand",95089.23999999999,9,9,9
LA-16780,"Laura Armstrong",94946.74200000004,10,10,10
AH-10690,"Anna Häberlin",94659.52799999947,11,11,11
GT-14710,"Greg Tran",94560.95999999995,12,12,12
RB-19360,"Raymond Buch",90704.03399999999,13,13,13
EH-13765,"Edward Hooks",90053.81999999973,14,14,14
CJ-12010,"Caroline Jumper",88637.93599999996,15,15,15
ZC-21910,"Zuschuss Carroll",88232.48500000013,16,16,16
JL-15835,"John Lee",84627.0269999999,17,17,17
EP-13915,"Emily Phan",82170.91199999968,18,18,18
PK-19075,"Pete Kriz",81586.54000000011,19,19,19
HM-14860,"Harry Marie",81488.44800000012,20,20,20
LC-16885,"Lena Creighton",81364.514,21,21,21
Dp-13240,"Dean percer",79186.37099999997,22,22,22
JE-15715,"Joe Elijah",78049.46700000008,23,23,23
HL-15040,"Hunter Lopez",77239.78800000003,24,24,24
JE-15745,"Joel Eaton",76805.46,25,25,25
KF-16285,"Karen Ferguson",74229.86199999992,26,26,26
PO-18850,"Patrick O'Brill",73673.34199999995,27,27,27
KD-16495,"Keith Dawkins",73631.30399999997,28,28,28
BM-11650,"Brian Moss",72838.17000000001,29,29,29
PP-18955,"Paul Prost",70759.20000000003,30,30,30
JD-16150,"Justin Deggeller",70624.24399999999,31,31,31
MS-17365,"Maribeth Schnelling",68483.10000000008,32,32,32
DR-12940,"Daniel Raglin",66806.94400000002,33,33,33
HW-14935,"Helen Wasserman",65101.77799999995,34,34,34
BB-11545,"Brenda Bowman",60891.55200000006,35,35,35
CC-12370,"Christopher Conant",60645.36000000001,36,36,36
CB-12025,"Cassandra Brandow",60282.269999999946,37,37,37
TS-21370,"Todd Sumrall",59429.355,38,38,38
BF-11170,"Ben Ferrer",59079.71999999997,39,39,39
NF-18385,"Natalie Fritzler",58259.78199999992,40,40,40
JG-15160,"James Galang",57297.52800000002,41,41,41
BD-11320,"Bill Donatelli",56721.70999999998,42,42,42
SB-20290,"Sean Braxton",56405.237,43,43,43
NP-18700,"Nora Preis",55322.27750000001,44,44,44
VW-21775,"Victoria Wilson",55014.318,45,45,45
WB-21850,"William Brown",54223.29,46,46,46
AB-10060,"Adam Bellavance",54128.69,47,47,47
TB-21400,"Tom Boeckenhauer",54076.45200000001,48,48,48
JM-15865,"John Murray",53375.531999999956,49,49,49
SD-20485,"Shirley Daniels",53282.32200000001,50,50,50
YS-21880,"Yana Sorensen",53236.031999999956,51,51,51
SC-20380,"Shahid Collister",53047.65600000013,52,52,52
BS-11365,"Bill Shonely",52508.26500000005,53,53,53
JA-15970,"Joseph Airdo",51803.791999999856,54,54,54
JD-15895,"Jonathan Doherty",51651.64800000002,55,55,55
NW-18400,"Natalie Webber",50638.098000000056,56,56,56
RB-19465,"Rick Bensley",50122.226000000104,57,57,57
SM-20950,"Suzanne McNair",50070.52799999998,58,58,58
BH-11710,"Brosina Hoffman",50042.808000000005,59,59,59
MH-18115,"Mick Hernandez",49527.83700000002,60,60,60
NC-18535,"Nick Crebassa",49450.43399999997,61,61,61
DP-13390,"Dennis Pardue",49326.51600000003,62,62,62
SP-20620,"Stefania Perrino",48962.8709999999,63,63,63
PS-19045,"Penelope Sewall",47905.43800000004,64,64,64
SC-20725,"Steven Cartwright",47035.890000000014,65,65,65
JE-15610,"Jim Epp",46529.856000000014,66,66,66
BM-11140,"Becky Martin",46439.60000000004,67,67,67
KT-16480,"Kean Thornton",46420.88400000001,68,68,68
JW-15220,"Jane Waco",46330.28399999999,69,69,69
RP-19390,"Resi Pölking",46279.260000000075,70,70,70
MP-18175,"Mike Pelletier",45791.27999999996,71,71,71
GK-14620,"Grace Kelly",45480.89000000003,72,72,72
MY-18295,"Muhammed Yedwab",45478.35599999999,73,73,73
AM-10705,"Anne McFarland",45230.89600000007,74,74,74
AG-10900,"Arthur Gainer",45107.970000000016,75,75,75
MJ-17740,"Max Jones",43975.582,76,76,76
TA-21385,"Tom Ashbrook",43786.859999999986,77,77,77
DR-12880,"Dan Reichenbach",43730.442000000054,78,78,78
AH-10210,"Alan Hwang",43248.096,79,79,79
RA-19915,"Russell Applegate",43032.30299999995,80,80,80
JK-15730,"Joe Kamberova",42929.100000000064,81,81,81
QJ-19255,"Quincy Jones",42758.366,82,82,82
AD-10180,"Alan Dominguez",42707.000000000044,83,83,83
TB-21520,"Tracy Blumstein",42575.65199999998,84,84,84
SA-20830,"Sue Ann Reed",42376.72950000009,85,85,85
RH-19510,"Rick Huthwaite",41772.83999999996,86,86,86
KH-16510,"Keith Herrera",41670.012999999984,87,87,87
SC-20050,"Sample Company A",41621.147999999965,88,88,88
SJ-20125,"Sanjit Jacobs",41556.67999999994,89,89,89
KD-16270,"Karen Daniels",41411.79000000002,90,90,90
CP-12340,"Christine Phan",41217.92500000001,91,91,91
FH-14365,"Fred Hopkins",40101.96000000002,92,92,92
TP-21130,"Theone Pippenger",40086.504,93,93,93
LB-16795,"Laurel Beltran",39885.40799999994,94,94,94
JH-15985,"Joseph Holt",39774.99000000001,95,95,95
AR-10540,"Andy Reiter",39650.688,96,96,96
RB-19795,"Ross Baird",39433.21200000007,97,97,97
AI-10855,"Arianne Irving",39382.07400000003,98,98,98
KM-16720,"Kunst Miller",39275.775999999976,99,99,99
KM-16375,"Katherine Murray",39268.221999999965,100,100,100
DK-12835,"Damala Kotsonis",39042.40800000001,101,101,101
CC-12220,"Chris Cortes",39025.22000000007,102,102,102
HK-14890,"Heather Kirkland",39022.27200000001,103,103,103
NM-18445,"Nathan Mautz",38756.064,104,104,104
AC-10450,"Amy Cox",38694.922,105,105,105
ND-18370,"Natalie DeCherney",38532.50099999995,106,106,106
MA-17560,"Matt Abelman",38525.58899999999,107,107,107
SB-20185,"Sarah Brown",38465.97600000004,108,108,108
MM-17920,"Michael Moore",37940.80000000001,109,109,109
FH-14275,"Frank Hawley",37716.3359999999,110,110,110
VD-21670,"Valerie Dominguez",37700.123999999974,111,111,111
TS-21205,"Thomas Seio",37597.629999999976,112,112,112
TT-21460,"Tonja Turnell",37553.65599999997,113,113,113
DM-13015,"Darrin Martin",37484.23199999999,114,114,114
ES-14080,"Erin Smith",37188.127999999946,115,115,115
RW-19540,"Rick Wilson",36987.00499999994,116,116,116
DB-13270,"Deborah Brumfield",36973.25599999998,117,117,117
SV-20785,"Stewart Visinsky",36947.74500000003,118,118,118
AR-10825,"Anthony Rawles",36186.687999999995,119,119,119
CP-12085,"Cathy Prescott",36148.71399999999,120,120,120
SZ-20035,"Sam Zeldin",35924.32999999996,121,121,121
PF-19120,"Peter Fuller",35921.98400000001,122,122,122
KL-16555,"Kelly Lampkin",35870.272000000004,123,123,123
MP-17965,"Michael Paige",35852.77800000006,124,124,124
LC-16930,"Linda Cazamias",35849.295999999915,125,125,125
CM-12385,"Christopher Martinez",35816.08000000001,126,126,126
NS-18640,"Noel Staavos",35577.87599999985,127,127,127
KH-16630,"Ken Heidel",35270.694,128,128,128
CS-12355,"Christine Sundaresam",35223.78199999997,129,129,129
KH-16690,"Kristen Hastings",35207.15400000001,130,130,130
GZ-14470,"Gary Zandusky",34841.200000000004,131,131,131
CK-12205,"Chloris Kastensmidt",34703.40499999999,132,132,132
IM-15070,"Irene Maddox",34513.317999999985,133,133,133
AT-10735,"Annie Thurman",34486.77599999992,134,134,134
TT-21070,"Ted Trevino",34409.213999999985,135,135,135
PO-19180,"Philisse Overcash",34251.300999999985,136,136,136
CS-12505,"Cindy Stewart",34140.33000000001,137,137,137
TC-21295,"Toby Carlisle",34094.81600000002,138,138,138
AJ-10780,"Anthony Jacobs",34071.407999999996,139,139,139
PG-18820,"Patrick Gardner",33955.97700000006,140,140,140
JF-15565,"Jill Fjeld",33586.656000000046,141,141,141
JK-15640,"Jim Kriz",33267.093999999975,142,142,142
BW-11110,"Bart Watters",33252.50599999998,143,143,143
CB-12535,"Claudia Bergmann",32988.123999999996,144,144,144
DM-13345,"Denise Monton",32595.775999999925,145,145,145
LW-17215,"Luke Weiss",32523.08400000001,146,146,146
AH-10075,"Adam Hart",32503.37000000002,147,147,147
SP-20860,"Sung Pak",32228.70399999994,148,148,148
EA-14035,"Erin Ashbrook",31929.900000000052,149,149,149
CM-12655,"Corinna Mitchell",31697.78799999998,150,150,150
HR-14830,"Harold Ryan",31492.721999999998,151,151,151
RL-19615,"Rob Lucas",31174.55000000001,152,152,152
EB-13705,"Ed Braxton",31034.466000000044,153,153,153
TW-21025,"Tamara Willingham",30987.75599999999,154,154,154
SF-20200,"Sarah Foster",30805.074000000048,155,155,155
SH-19975,"Sally Hughsby",30516.63449999998,156,156,156
IL-15100,"Ivan Liston",30244.415999999965,157,157,157
KB-16585,"Ken Black",30170.337999999974,158,158,158
EH-14125,"Eugene Hildebrand",30131.530000000035,159,159,159
DC-12850,"Dan Campbell",30025.511999999988,160,160,160
RD-19480,"Rick Duston",29944.240000000005,161,161,161
FM-14290,"Frank Merwin",29889.584000000053,162,162,162
DB-13060,"Dave Brooks",29857.057999999983,163,163,163
SF-20965,"Sylvia Foulston",29761.838999999964,164,164,164
DH-13075,"Dave Hallsten",29597.23200000001,165,165,165
RW-19630,"Rob Williams",29462.85000000004,166,166,166
JO-15145,"Jack O'Briant",29294.54100000001,167,167,167
CS-12400,"Christopher Schild",29214.868000000013,168,168,168
BP-11185,"Ben Peterman",28882.343999999997,169,169,169
DK-13225,"Dean Katz",28880.908,170,170,170
HG-14965,"Henry Goldwyn",28657.566000000024,171,171,171
EB-13750,"Edward Becker",28501.937999999987,172,172,172
JM-16195,"Justin MacKendrick",28339.25999999999,173,173,173
DL-13495,"Dionis Lloyd",28314.576,174,174,174
RD-19900,"Ruben Dartt",28205.316000000028,175,175,175
GT-14635,"Grant Thornton",28053.636,176,176,176
SC-20305,"Sean Christensen",27797.448,177,177,177
NP-18325,"Naresj Patel",27648.10000000001,178,178,178
PW-19030,"Pauline Webber",27639.327999999983,179,179,179
DB-13555,"Dorothy Badders",27361.619599999987,180,180,180
YC-21895,"Yoseph Carroll",27271.749999999985,181,181,181
PW-19240,"Pierre Wener",27148.205000000005,182,182,182
FC-14335,"Fred Chung",27060.921999999995,183,183,183
CS-12250,"Chris Selesnick",26967.959999999908,184,184,184
SC-20770,"Stewart Carmichael",26955.94200000002,185,185,185
RA-19885,"Ruben Ausman",26826.198000000033,186,186,186
RS-19765,"Roland Schwarz",26823.51000000002,187,187,187
AA-10645,"Anna Andreadi",26735.37000000002,188,188,188
MW-18220,"Mitch Webber",26709.5,189,189,189
RO-19780,"Rose O'Brian",26708.34599999998,190,190,190
TP-21415,"Tom Prescott",26645.023999999994,191,191,191
AP-10915,"Arthur Prichep",26588.447999999957,192,192,192
MG-17650,"Matthew Grinstein",26496.931999999997,193,193,193
RF-19345,"Randy Ferguson",26473.199999999975,194,194,194
BD-11500,"Bradley Drucker",26449.78199999998,195,195,195
JK-16120,"Julie Kriz",26392.35599999997,196,196,196
MD-17350,"Maribeth Dona",26364.674000000017,197,197,197
