"Customer ID","Customer Name",TotalSales
SE-20110,"Sanjit Engle",134303.81800000006
SM-20320,"Sean Miller",125215.25000000006
CL-12565,"Clay Ludtke",119686.00600000004
AB-10105,"Adrian Barton",114844.88800000012
SC-20095,"Sanjit Chand",113138.67199999998
KL-16645,"Ken Lonsdale",112575.33600000011
SV-20365,"Seth Vernon",102785.81400000017
ME-17320,"Maria Etezadi",95723.26200000022
TC-20980,"Tamara Chand",95089.23999999999
LA-16780,"Laura Armstrong",94946.74200000004
AH-10690,"Anna Häberlin",94659.52799999947
GT-14710,"Greg Tran",94560.95999999995
RB-19360,"Raymond Buch",90704.03399999999
EH-13765,"Edward Hooks",90053.81999999973
CJ-12010,"Caroline Jumper",88637.93599999996
ZC-21910,"Zuschuss Carroll",88232.48500000013
JL-15835,"John Lee",84627.0269999999
EP-13915,"Emily Phan",82170.91199999968
PK-19075,"Pete Kriz",81586.54000000011
HM-14860,"Harry Marie",81488.44800000012
LC-16885,"Lena Creighton",81364.514
Dp-13240,"Dean percer",79186.37099999997
JE-15715,"Joe Elijah",78049.46700000008
HL-15040,"Hunter Lopez",77239.78800000003
JE-15745,"Joel Eaton",76805.46
KF-16285,"Karen Ferguson",74229.86199999992
PO-18850,"Patrick O'Brill",73673.34199999995
KD-16495,"Keith Dawkins",73631.30399999997
BM-11650,"Brian Moss",72838.17000000001
PP-18955,"Paul Prost",70759.20000000003
JD-16150,"Justin Deggeller",70624.24399999999
MS-17365,"Maribeth Schnelling",68483.10000000008
DR-12940,"Daniel Raglin",66806.94400000002
HW-14935,"Helen Wasserman",65101.77799999995
BB-11545,"Brenda Bowman",60891.55200000006
CC-12370,"Christopher Conant",60645.36000000001
CB-12025,"Cassandra Brandow",60282.269999999946
TS-21370,"Todd Sumrall",59429.355
BF-11170,"Ben Ferrer",59079.71999999997
NF-18385,"Natalie Fritzler",58259.78199999992
JG-15160,"James Galang",57297.52800000002
BD-11320,"Bill Donatelli",56721.70999999998
SB-20290,"Sean Braxton",56405.237
NP-18700,"Nora Preis",55322.27750000001
VW-21775,"Victoria Wilson",55014.318
WB-21850,"William Brown",54223.29
AB-10060,"Adam Bellavance",54128.69
TB-21400,"Tom Boeckenhauer",54076.45200000001
JM-15865,"John Murray",53375.531999999956
SD-20485,"Shirley Daniels",53282.32200000001
YS-21880,"Yana Sorensen",53236.031999999956
SC-20380,"Shahid Collister",53047.65600000013
BS-11365,"Bill Shonely",52508.26500000005
JA-15970,"Joseph Airdo",51803.791999999856
JD-15895,"Jonathan Doherty",51651.64800000002
NW-18400,"Natalie Webber",50638.098000000056
RB-19465,"Rick Bensley",50122.226000000104
SM-20950,"Suzanne McNair",50070.52799999998
BH-11710,"Brosina Hoffman",50042.808000000005
MH-18115,"Mick Hernandez",49527.83700000002
NC-18535,"Nick Crebassa",49450.43399999997
DP-13390,"Dennis Pardue",49326.51600000003
SP-20620,"Stefania Perrino",48962.8709999999
PS-19045,"Penelope Sewall",47905.43800000004
SC-20725,"Steven Cartwright",47035.890000000014
JE-15610,"Jim Epp",46529.856000000014
BM-11140,"Becky Martin",46439.60000000004
KT-16480,"Kean Thornton",46420.88400000001
JW-15220,"Jane Waco",46330.28399999999
RP-19390,"Resi Pölking",46279.260000000075
MP-18175,"Mike Pelletier",45791.27999999996
GK-14620,"Grace Kelly",45480.89000000003
MY-18295,"Muhammed Yedwab",45478.35599999999
AM-10705,"Anne McFarland",45230.89600000007
AG-10900,"Arthur Gainer",45107.970000000016
MJ-17740,"Max Jones",43975.582
TA-21385,"Tom Ashbrook",43786.859999999986
DR-12880,"Dan Reichenbach",43730.442000000054
AH-10210,"Alan Hwang",43248.096
RA-19915,"Russell Applegate",43032.30299999995
JK-15730,"Joe Kamberova",42929.100000000064
QJ-19255,"Quincy Jones",42758.366
AD-10180,"Alan Dominguez",42707.000000000044
TB-21520,"Tracy Blumstein",42575.65199999998
SA-20830,"Sue Ann Reed",42376.72950000009
RH-19510,"Rick Huthwaite",41772.83999999996
KH-16510,"Keith Herrera",41670.012999999984
SC-20050,"Sample Company A",41621.147999999965
SJ-20125,"Sanjit Jacobs",41556.67999999994
KD-16270,"Karen Daniels",41411.79000000002
CP-12340,"Christine Phan",41217.92500000001
FH-14365,"Fred Hopkins",40101.96000000002
TP-21130,"Theone Pippenger",40086.504
LB-16795,"Laurel Beltran",39885.40799999994
JH-15985,"Joseph Holt",39774.99000000001
AR-10540,"Andy Reiter",39650.688
RB-19795,"Ross Baird",39433.21200000007
AI-10855,"Arianne Irving",39382.07400000003
KM-16720,"Kunst Miller",39275.775999999976
KM-16375,"Katherine Murray",39268.221999999965
DK-12835,"Damala Kotsonis",39042.40800000001
CC-12220,"Chris Cortes",39025.22000000007
HK-14890,"Heather Kirkland",39022.27200000001
NM-18445,"Nathan Mautz",38756.064
AC-10450,"Amy Cox",38694.922
ND-18370,"Natalie DeCherney",38532.50099999995
MA-17560,"Matt Abelman",38525.58899999999
SB-20185,"Sarah Brown",38465.97600000004
MM-17920,"Michael Moore",37940.80000000001
FH-14275,"Frank Hawley",37716.3359999999
VD-21670,"Valerie Dominguez",37700.123999999974
TS-21205,"Thomas Seio",37597.629999999976
TT-21460,"Tonja Turnell",37553.65599999997
DM-13015,"Darrin Martin",37484.23199999999
ES-14080,"Erin Smith",37188.127999999946
RW-19540,"Rick Wilson",36987.00499999994
